Tariff,Handset,Peak_calls,Peak_mins,OffPeak_calls,OffPeak_mins,Weekend_calls,Weekend_mins,International_mins,Nat_call_cost,month
CAT 200,S80,102.0,291.510106,22.0,32.799941,5.0,19.002739,34.668755,13.0,6.0
CAT 200,S80,79.0,158.769659,17.0,30.945558,4.0,25.387988,48.146632,0.0,6.0
CAT 200,S80,89.0,151.078393,32.0,129.747899,4.0,8.236361,86.229188,6.0,6.0
CAT 200,ASAD170,128.0,202.409983,2.0,11.36709,2.0,5.607764,26.288017,6.0,6.0
CAT 200,ASAD170,80.0,129.862495,5.0,95.335007,9.0,14.398102,64.0891,0.0,6.0
CAT 200,S50,97.0,196.009189,7.0,33.802407,1.0,9.0,30.815529,4.0,6.0
CAT 200,ASAD170,87.0,149.176452,47.0,73.71399,3.0,1.9869,39.499749,5.0,6.0
CAT 200,S80,65.0,128.863212,18.0,25.656897,0.0,0.0,27.696229,0.0,6.0
CAT 200,ASAD170,152.0,258.701796,18.0,64.372874,0.0,0.0,105.652156,1.0,6.0
CAT 200,S80,36.0,83.837317,2.0,49.113369,3.0,17.22944,42.491621,0.0,6.0
CAT 200,S80,102.0,198.490178,26.0,53.399713,0.0,0.0,55.275773,5.0,6.0
CAT 200,S50,93.0,170.555533,11.0,46.333976,2.0,2.989289,27.073538,4.0,6.0
CAT 200,S50,92.0,155.372513,23.0,77.386695,3.0,7.788596,30.134509,3.0,6.0
CAT 200,ASAD170,115.0,195.947825,0.0,0.0,7.0,12.279547,83.550518,4.0,6.0
CAT 200,S50,164.0,331.105104,14.0,58.277843,2.0,6.939829,71.665758,21.0,6.0
CAT 200,S50,148.0,227.554281,5.0,8.343927,6.0,10.774197,58.444806,8.0,6.0
CAT 200,ASAD170,201.0,318.116673,22.0,56.395899,6.0,12.228237,48.93563,15.0,6.0
CAT 200,S50,123.0,250.405951,9.0,25.862721,8.0,11.646788,92.553218,5.0,6.0
CAT 200,S50,108.0,308.535566,37.0,174.346557,20.0,29.333188,134.95866,14.0,6.0
CAT 200,S50,86.0,172.027782,23.0,47.62719,0.0,0.0,35.60026,5.0,6.0
CAT 200,S50,55.0,108.304262,10.0,85.960518,5.0,16.413367,37.398184,0.0,6.0
CAT 200,S80,113.0,229.139266,23.0,104.023233,2.0,10.8,58.134961,8.0,6.0
CAT 200,S50,151.0,258.396264,8.0,61.798712,9.0,14.89279,99.658417,7.0,6.0
CAT 200,ASAD170,159.0,322.084327,17.0,33.413812,2.0,4.254278,98.410791,17.0,6.0
CAT 200,S50,53.0,149.263304,0.0,0.0,7.0,9.050832,36.110223,2.0,6.0
CAT 200,ASAD170,114.0,229.500756,5.0,32.219449,6.0,7.594186,82.947386,4.0,6.0
CAT 200,S80,55.0,156.350282,9.0,60.635847,4.0,7.980843,40.442151,0.0,6.0
CAT 200,ASAD90,129.0,220.568659,9.0,86.824724,4.0,4.131632,38.448863,5.0,6.0
CAT 200,ASAD170,268.0,440.727168,41.0,60.656201,8.0,12.592205,103.179259,26.0,6.0
CAT 200,S80,146.0,296.002223,14.0,69.631685,5.0,24.321546,115.513191,2.0,6.0
