Tariff,Handset,Peak_calls,Peak_mins,OffPeak_calls,OffPeak_mins,Weekend_calls,Weekend_mins,International_mins,Nat_call_cost,month
Play 100,SOP10,5.0,12.812472,1.0,0.0,8.0,13.453096,1.708382,0.0,5.0
Play 100,SOP20,8.0,12.959428,3.0,10.182407,2.0,5.862598,8.938468,0.0,5.0
Play 100,SOP10,0.0,0.0,0.0,0.0,0.0,0.0,1.919203,0.0,5.0
Play 100,SOP20,4.0,4.38613,6.0,8.98364,0.0,0.0,2.404001,0.0,5.0
Play 100,SOP20,4.0,3.233547,2.0,3.262162,0.0,1.116003,2.393274,0.0,5.0
Play 100,SOP10,2.0,6.704256,1.0,10.417382,0.0,0.0,5.710376,0.0,5.0
Play 100,SOP10,4.0,4.340042,2.0,3.563613,2.0,3.649883,2.465487,0.0,5.0
Play 100,SOP10,4.0,9.318098,6.0,10.056166,0.0,0.0,1.522635,0.0,5.0
Play 100,SOP10,4.0,7.350019,5.0,6.099495,1.0,2.501048,1.678204,0.0,5.0
Play 100,SOP20,0.0,0.0,11.0,18.928631,0.0,0.0,4.660454,0.0,5.0
Play 100,SOP20,0.0,0.0,1.0,7.721914,0.0,0.0,4.34582,0.0,5.0
Play 100,SOP20,3.0,9.500852,6.0,10.844407,0.0,0.0,5.096254,0.0,5.0
Play 100,SOP20,2.0,8.888773,8.0,15.376555,2.0,3.320518,3.286333,0.0,5.0
Play 100,SOP10,1.0,3.32754,3.0,5.285782,0.0,0.0,0.188021,0.0,5.0
Play 100,SOP20,0.0,0.0,3.0,8.742767,3.0,12.389247,7.018754,0.0,5.0
Play 100,SOP10,3.0,11.046942,0.0,0.0,2.0,5.49117,0.697268,0.0,5.0
Play 100,SOP20,0.0,0.0,1.0,5.761881,0.0,0.0,3.242732,0.0,5.0
Play 100,SOP10,1.0,10.180615,4.0,7.721738,0.0,0.0,6.214805,0.0,5.0
Play 100,SOP20,0.0,1.924929,1.0,1.988042,3.0,6.279687,1.192193,0.0,5.0
Play 100,SOP20,0.0,0.0,6.0,6.783371,0.0,0.0,3.512866,0.0,5.0
Play 100,ASAD170,20.0,46.856232,8.0,36.400351,13.0,20.65145,29.412059,2.0,5.0
Play 100,ASAD170,7.0,16.203692,10.0,115.494399,0.0,0.0,40.197498,1.0,5.0
Play 100,ASAD170,22.0,44.825075,17.0,42.468116,0.0,3.428304,25.71787,0.0,5.0
Play 100,ASAD170,13.0,39.206441,19.0,62.243802,1.0,13.831956,32.895165,2.0,5.0
Play 100,S50,15.0,37.144494,22.0,52.576506,5.0,14.714244,27.618655,1.0,5.0
Play 100,S50,5.0,11.96172,44.0,71.730448,3.0,6.778308,27.629347,0.0,5.0
Play 100,S80,14.0,29.080128,21.0,61.13436,3.0,14.63448,31.551645,1.0,5.0
Play 100,S50,19.0,40.431999,33.0,60.703385,3.0,31.791736,35.710447,2.0,5.0
Play 100,S80,6.0,11.809336,30.0,70.495423,2.0,3.080043,28.041117,0.0,5.0
Play 100,S80,12.0,27.543764,29.0,49.532483,5.0,10.415709,28.116326,1.0,5.0
Play 100,S50,21.0,41.363213,5.0,65.421408,0.0,0.0,34.427689,0.0,5.0
Play 100,ASAD170,3.0,7.296163,37.0,66.503542,8.0,28.100088,29.684103,0.0,5.0
Play 100,S50,33.0,51.359186,0.0,0.0,2.0,7.278258,32.682263,1.0,5.0
Play 100,ASAD170,21.0,40.874827,2.0,65.859696,0.0,0.0,34.630335,0.0,5.0
Play 100,ASAD170,15.0,23.052977,3.0,93.322257,0.0,0.0,38.038699,0.0,5.0
