Tariff,Handset,Peak_calls,Peak_mins,OffPeak_calls,OffPeak_mins,Weekend_calls,Weekend_mins,International_mins,Nat_call_cost,month
Play 100,SOP10,7.0,12.253536,0.0,0.0,8.0,12.866213,1.633855,0.0,6.0
Play 100,SOP20,8.0,13.590234,5.0,10.678041,3.0,6.147963,9.373552,0.0,6.0
Play 100,SOP10,0.0,0.0,1.0,1.585148,0.0,0.0,1.395602,0.0,6.0
Play 100,SOP20,6.0,5.433753,8.0,11.129374,3.0,14.831091,2.978194,0.0,6.0
Play 100,SOP20,10.0,6.405547,7.0,6.462233,3.0,2.210764,4.740996,0.0,6.0
Play 100,SOP10,3.0,5.905341,2.0,9.175991,3.0,47.4,5.029897,0.0,6.0
Play 100,SOP10,4.0,4.071885,4.0,3.343429,3.0,3.424368,2.313152,0.0,6.0
Play 100,SOP10,7.0,13.919881,11.0,15.022445,3.0,12.0,2.274595,0.0,6.0
Play 100,SOP10,5.0,6.67981,7.0,5.543314,4.0,2.272991,1.525178,0.0,6.0
Play 100,SOP20,0.0,0.0,15.0,24.693114,1.0,4.2,6.079739,0.0,6.0
Play 100,SOP20,1.0,36.931072,3.0,10.234361,3.0,25.366797,5.759802,0.0,6.0
Play 100,SOP20,5.0,13.45802,9.0,15.361175,2.0,4.2,7.218879,0.0,6.0
Play 100,SOP20,4.0,10.878428,10.0,18.81843,3.0,4.063781,4.021943,0.0,6.0
Play 100,SOP10,2.0,7.874006,9.0,12.507824,2.0,2.950885,0.444917,0.0,6.0
Play 100,SOP20,1.0,7.2,6.0,10.067151,4.0,14.266013,8.08198,0.0,6.0
Play 100,SOP10,5.0,11.260555,2.0,46.5,4.0,5.597352,0.710751,0.0,6.0
Play 100,SOP20,1.0,30.685645,4.0,10.054995,3.0,21.077009,5.658856,0.0,6.0
Play 100,SOP10,1.0,22.523321,10.0,17.083366,2.0,20.4,13.749467,0.0,6.0
Play 100,SOP20,2.0,2.452567,3.0,2.532979,5.0,8.000996,1.518982,0.0,6.0
Play 100,SOP20,1.0,23.183933,8.0,6.577651,3.0,2.43844,3.406331,0.0,6.0
Play 100,ASAD170,28.0,61.445952,11.0,47.734402,19.0,27.081734,38.570151,3.0,6.0
Play 100,ASAD170,10.0,17.0068,12.0,121.218678,3.0,35.0,42.189817,1.0,6.0
Play 100,ASAD170,32.0,64.729095,25.0,61.325557,2.0,4.9506,37.137572,1.0,6.0
Play 100,ASAD170,19.0,51.10711,25.0,81.1372,3.0,18.030489,42.880119,3.0,6.0
Play 100,S50,21.0,44.553521,27.0,63.063679,7.0,17.649221,33.12761,2.0,6.0
Play 100,S50,7.0,16.5249,60.0,99.094317,5.0,9.36411,38.169444,1.0,6.0
Play 100,S80,21.0,42.190025,31.0,88.694939,6.0,21.231993,45.775751,1.0,6.0
Play 100,S50,14.0,26.559006,23.0,39.874891,3.0,20.883383,23.457509,1.0,6.0
Play 100,S80,6.0,10.141129,27.0,60.537122,3.0,2.644951,24.079982,0.0,6.0
Play 100,S80,19.0,41.888524,45.0,75.328942,8.0,15.840198,42.759276,1.0,6.0
Play 100,S50,21.0,41.364389,6.0,65.423268,3.0,18.0,34.428667,0.0,6.0
Play 100,ASAD170,5.0,7.414578,40.0,67.582876,11.0,28.556145,30.165868,0.0,6.0
Play 100,S50,45.0,69.759137,1.0,280.8,6.0,9.885768,44.391016,1.0,6.0
Play 100,ASAD170,29.0,55.836677,3.0,89.967024,0.0,0.0,47.306447,0.0,6.0
Play 100,ASAD170,16.0,23.308691,5.0,94.357429,0.0,0.0,38.460642,0.0,6.0
Play 100,ASAD170,34.0,64.248192,48.0,109.296634,2.0,23.4,59.06269,3.0,6.0
Play 100,S80,9.0,14.517048,37.0,88.553993,3.0,109.8,37.987358,0.0,6.0
Play 100,S80,12.0,18.07801,66.0,113.935198,8.0,22.01435,44.022305,0.0,6.0
Play 100,S80,19.0,35.780904,31.0,63.324114,1.0,7.782852,30.520341,0.0,6.0
Play 100,ASAD170,10.0,16.943335,25.0,93.825996,0.0,0.0,35.670086,1.0,6.0
Play 100,ASAD170,18.0,33.668519,40.0,78.024349,6.0,15.646781,41.932313,0.0,6.0
Play 100,ASAD170,40.0,62.388834,29.0,86.083317,6.0,7.699048,41.335204,3.0,6.0
Play 100,S50,38.0,63.807744,9.0,45.292104,4.0,21.762998,37.630966,2.0,6.0
Play 100,ASAD170,10.0,18.651625,41.0,83.932311,10.0,15.639561,38.432721,0.0,6.0
Play 100,ASAD170,19.0,48.384473,4.0,45.344156,3.0,33.5,28.056424,1.0,6.0
Play 100,S50,25.0,53.25852,16.0,58.50936,2.0,8.6621,35.527193,1.0,6.0
Play 100,S50,21.0,32.054792,4.0,49.527282,3.0,6.218279,26.888178,0.0,6.0
Play 100,ASAD170,24.0,41.343377,15.0,52.576133,3.0,7.047166,25.96212,2.0,6.0
Play 100,S50,34.0,61.346309,6.0,45.558656,8.0,18.043032,39.936723,0.0,6.0
Play 100,ASAD90,17.0,25.380221,5.0,86.690274,5.0,5.266311,33.431805,1.0,6.0
Play 100,S50,22.0,53.316014,24.0,58.504486,2.0,33.6,36.603551,0.0,6.0
Play 100,ASAD170,13.0,17.334793,85.0,152.673408,6.0,16.22155,52.963373,1.0,6.0
Play 100,S50,9.0,15.726629,0.0,0.0,3.0,16.53728,52.433553,0.0,6.0
Play 100,S80,28.0,45.05356,48.0,91.083714,4.0,7.378714,40.617648,1.0,6.0
Play 100,S80,42.0,77.9385,24.0,92.572875,9.0,27.59625,57.374911,3.0,6.0
Play 100,S80,8.0,17.191856,36.0,95.549294,15.0,31.342975,37.189904,2.0,6.0
Play 100,S50,0.0,0.0,7.0,11.772197,4.0,4.716425,42.890633,0.0,6.0
Play 100,S50,37.0,54.649244,46.0,105.543959,0.0,0.0,43.248136,2.0,6.0
Play 100,S80,8.0,10.341334,17.0,109.820467,4.0,6.856754,36.366877,0.0,6.0
Play 100,S50,17.0,30.690348,18.0,83.583669,9.0,14.801982,41.938611,0.0,6.0
Play 100,S80,23.0,34.439748,26.0,74.790101,3.0,12.0,31.018002,2.0,6.0
Play 100,ASAD170,14.0,24.822259,9.0,83.064071,7.0,17.970281,39.635211,0.0,6.0
Play 100,ASAD170,24.0,46.972649,22.0,89.01682,5.0,8.721174,37.32684,2.0,6.0
Play 100,S80,0.0,0.0,20.0,40.554492,7.0,8.71136,29.773074,0.0,6.0
Play 100,S80,20.0,34.351723,36.0,115.015687,7.0,8.483624,43.010275,1.0,6.0
Play 100,S50,7.0,20.626906,24.0,39.227954,2.0,4.788389,19.709907,0.0,6.0
Play 100,S50,3.0,17.719491,48.0,105.865494,6.0,6.997506,42.396529,1.0,6.0
Play 100,ASAD170,14.0,46.899341,18.0,53.45993,2.0,5.053426,30.216966,2.0,6.0
Play 100,S80,22.0,61.355887,17.0,111.312738,5.0,8.92542,54.874742,3.0,6.0
Play 100,S50,12.0,68.926433,8.0,102.871961,1.0,22.0,53.116238,3.0,6.0
Play 100,ASAD170,14.0,44.728008,30.0,67.918508,0.0,0.0,30.138151,2.0,6.0
Play 100,S50,10.0,35.756187,63.0,99.238073,3.0,6.447837,38.428161,2.0,6.0
